epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.366,1.40414,4.5326,0.01727,0,0,0,0,0.81143,4.88765,0.0258,0.00062963,0.00062963,0.00062963
2,86.0873,1.30344,3.20816,0.02086,0.58333,0.72727,0.6537,0.22644,1.40096,4.37534,0.05018,0.00127063,0.00127063,0.00127063
3,129.523,1.49149,2.37809,0.02833,0.67766,0.46753,0.57921,0.24715,1.46657,3.89466,0.05046,0.00188523,0.00188523,0.00188523
4,172.617,1.49601,2.39367,0.02415,0.5724,0.66234,0.56705,0.23446,1.65303,3.19009,0.06088,0.0018812,0.0018812,0.0018812
5,215.53,1.48152,2.14655,0.02558,0.57853,0.51948,0.53073,0.22113,1.63549,3.18355,0.05591,0.0018416,0.0018416,0.0018416
6,258.375,1.47977,2.09238,0.02448,0.79789,0.61529,0.71242,0.2913,1.76936,2.58763,0.06435,0.001802,0.001802,0.001802
7,301.02,1.44925,2.05283,0.02133,0.66131,0.49351,0.54819,0.23112,1.63944,2.64002,0.05626,0.0017624,0.0017624,0.0017624
8,343.787,1.48514,1.87979,0.02104,0.53552,0.59895,0.51579,0.21724,1.74742,2.34514,0.06168,0.0017228,0.0017228,0.0017228
9,386.556,1.38049,1.83248,0.0239,0.7388,0.69797,0.72516,0.33725,1.93502,2.12642,0.07111,0.0016832,0.0016832,0.0016832
10,429.216,1.38208,1.72315,0.02205,0.78038,0.71429,0.75517,0.37762,1.65734,1.92094,0.05786,0.0016436,0.0016436,0.0016436
11,472.647,1.42805,1.65567,0.02241,0.3473,0.61039,0.35057,0.12717,2.24871,2.55927,0.08006,0.001604,0.001604,0.001604
12,515.935,1.38269,1.60286,0.02034,0.67235,0.67532,0.67435,0.29873,1.90903,2.06816,0.0697,0.0015644,0.0015644,0.0015644
13,558.907,1.33631,1.67457,0.02308,0.73537,0.77922,0.78179,0.37054,1.82286,1.75639,0.06923,0.0015248,0.0015248,0.0015248
14,602.02,1.40402,1.57313,0.02083,0.83694,0.75325,0.81905,0.41369,1.58356,1.83078,0.05411,0.0014852,0.0014852,0.0014852
15,644.777,1.2956,1.58103,0.02065,0.9159,0.68831,0.82797,0.38768,1.76229,1.65389,0.06703,0.0014456,0.0014456,0.0014456
16,687.415,1.32179,1.58931,0.01899,0.88161,0.76623,0.87882,0.43544,1.68717,1.50877,0.06211,0.001406,0.001406,0.001406
17,730.616,1.34534,1.3755,0.02161,0.85952,0.87013,0.87499,0.495,1.42124,1.29741,0.04626,0.0013664,0.0013664,0.0013664
18,773.49,1.22591,1.35717,0.01963,0.90357,0.85184,0.91183,0.56552,1.36516,1.24259,0.04641,0.0013268,0.0013268,0.0013268
19,816.386,1.29936,1.38937,0.01942,0.83964,0.87013,0.85282,0.51301,1.37205,1.22105,0.04586,0.0012872,0.0012872,0.0012872
20,859.328,1.26517,1.32244,0.01701,0.84318,0.83117,0.87014,0.54186,1.35373,1.3859,0.04636,0.0012476,0.0012476,0.0012476
21,901.95,1.21109,1.26209,0.01877,0.87106,0.85714,0.90698,0.58367,1.25458,1.27182,0.04145,0.001208,0.001208,0.001208
22,944.769,1.14767,1.22373,0.01553,0.87477,0.84416,0.89283,0.53753,1.32922,1.27402,0.04476,0.0011684,0.0011684,0.0011684
23,987.598,1.14747,1.19772,0.0161,0.91686,0.76623,0.86477,0.53447,1.30181,1.28894,0.04297,0.0011288,0.0011288,0.0011288
24,1030.34,1.13676,1.25911,0.01699,0.87464,0.80519,0.88307,0.52262,1.42599,1.1455,0.04927,0.0010892,0.0010892,0.0010892
25,1072.9,1.09241,1.12858,0.01697,0.89125,0.85153,0.90973,0.55388,1.40618,1.2191,0.04901,0.0010496,0.0010496,0.0010496
26,1115.67,1.13667,1.13082,0.01512,0.90895,0.83117,0.90218,0.54649,1.42702,1.19103,0.04986,0.00101,0.00101,0.00101
27,1158.62,1.10664,1.13878,0.01686,0.94393,0.84416,0.90568,0.53471,1.41168,1.14146,0.04698,0.0009704,0.0009704,0.0009704
28,1201.84,1.00892,1.07891,0.01451,0.94649,0.81818,0.91067,0.57556,1.33513,1.26065,0.0439,0.0009308,0.0009308,0.0009308
29,1244.66,1.09921,1.12411,0.01553,0.94904,0.85714,0.92704,0.52267,1.3673,1.10271,0.04584,0.0008912,0.0008912,0.0008912
30,1287.35,0.97843,1.05352,0.01516,0.9695,0.82564,0.92763,0.51385,1.49461,1.0998,0.05059,0.0008516,0.0008516,0.0008516
31,1330.31,1.00558,1.02641,0.01562,0.92875,0.84644,0.92685,0.57186,1.34335,1.05861,0.04383,0.000812,0.000812,0.000812
32,1373.2,0.98155,1.03598,0.01322,1,0.81319,0.92433,0.57944,1.26004,1.13182,0.04104,0.0007724,0.0007724,0.0007724
33,1416.14,1.00653,1.01321,0.01439,0.98481,0.84201,0.91249,0.54346,1.40655,1.19336,0.04631,0.0007328,0.0007328,0.0007328
34,1459.17,0.95371,1.00988,0.01338,0.94143,0.83499,0.90585,0.55629,1.33761,1.10622,0.04297,0.0006932,0.0006932,0.0006932
35,1501.96,0.9148,0.89507,0.01391,0.95524,0.83141,0.90936,0.58833,1.29679,1.12088,0.04175,0.0006536,0.0006536,0.0006536
36,1544.98,1.01675,0.95451,0.01374,0.94376,0.83117,0.91023,0.58941,1.2752,1.05903,0.0401,0.000614,0.000614,0.000614
37,1587.84,0.99822,0.93542,0.01284,0.96977,0.83117,0.91298,0.56734,1.30804,1.13291,0.04193,0.0005744,0.0005744,0.0005744
38,1630.78,0.93062,0.90265,0.01208,0.9557,0.84056,0.90962,0.53654,1.30831,1.17005,0.04196,0.0005348,0.0005348,0.0005348
39,1674.07,0.95034,0.92537,0.01248,0.94236,0.8493,0.91399,0.55737,1.29876,1.05424,0.04079,0.0004952,0.0004952,0.0004952
40,1716.8,0.82392,0.82093,0.01244,0.94239,0.84988,0.91122,0.57779,1.20619,1.07996,0.03772,0.0004556,0.0004556,0.0004556
41,1758.84,0.94323,0.84156,0.01756,0.9299,0.86137,0.91129,0.56164,1.39186,1.21709,0.04706,0.000416,0.000416,0.000416
42,1800.96,0.96883,0.86015,0.01885,0.9345,0.81818,0.88542,0.60538,1.28274,1.17072,0.04097,0.0003764,0.0003764,0.0003764
